originState,inboundFromState,pctOfTotal
Washington,754,11.76
Colorado,692,10.79
Wyoming,508,7.92
Arizona,422,6.58
Utah,421,6.56
California,352,5.49
North Dakota,324,5.05
Nevada,283,4.41
Oregon,264,4.12
North Carolina,225,3.51
Minnesota,164,2.56
Idaho,156,2.43
New Mexico,134,2.09
Louisiana,123,1.92
Oceania and At Sea,118,1.84
South Carolina,113,1.76
Florida,102,1.59
Texas,101,1.57
Missouri,98,1.53
Nebraska,98,1.53
Indiana,89,1.39
South Dakota,72,1.12
New York,70,1.09
Massachusetts,61,0.95
Europe,60,0.94
Central America,59,0.92
Wisconsin,55,0.86
Oklahoma,53,0.83
Tennessee,52,0.81
Virginia,45,0.7
Puerto Rico,38,0.59
Georgia,32,0.5
Asia,31,0.48
Iowa,30,0.47
Ohio,28,0.44
South America,25,0.39
Pennsylvania,23,0.36
Northern America,21,0.33
Alabama,21,0.33
Alaska,17,0.27
Africa,17,0.27
Kansas,15,0.23
Hawaii,15,0.23
Kentucky,12,0.19
Michigan,8,0.12
Arkansas,7,0.11
Illinois,5,0.08
