originState,inboundFromState,pctOfTotal
Montana,4596,41.6
Washington,754,6.83
Idaho,733,6.64
Oregon,561,5.08
California,545,4.93
Nevada,464,4.2
Texas,282,2.55
Louisiana,260,2.35
Asia,234,2.12
Colorado,226,2.05
Pennsylvania,215,1.95
Arizona,193,1.75
Illinois,189,1.71
Europe,139,1.26
Alaska,138,1.25
Oceania and At Sea,128,1.16
Florida,123,1.11
Ohio,122,1.1
Central America,121,1.1
Nebraska,82,0.74
Maine,82,0.74
Virginia,75,0.68
Utah,72,0.65
Hawaii,69,0.62
New York,65,0.59
North Dakota,65,0.59
Georgia,65,0.59
Wisconsin,63,0.57
North Carolina,60,0.54
Minnesota,46,0.42
Missouri,40,0.36
Iowa,39,0.35
Kentucky,38,0.34
Tennessee,27,0.24
Africa,24,0.22
Massachusetts,24,0.22
Mississippi,20,0.18
South Dakota,18,0.16
New Mexico,12,0.11
Wyoming,10,0.09
District of Columbia,7,0.06
South America,6,0.05
Oklahoma,6,0.05
New Jersey,5,0.05
Kansas,4,0.04
