originState,inboundFromState,pctOfTotal
Montana,5016,43.89
Washington,754,6.6
Colorado,692,6.05
Wyoming,508,4.44
Arizona,422,3.69
Utah,421,3.68
California,352,3.08
North Dakota,324,2.83
Nevada,283,2.48
Oregon,264,2.31
North Carolina,225,1.97
Minnesota,164,1.43
Idaho,156,1.36
New Mexico,134,1.17
Louisiana,123,1.08
Oceania and At Sea,118,1.03
South Carolina,113,0.99
Florida,102,0.89
Texas,101,0.88
Missouri,98,0.86
Nebraska,98,0.86
Indiana,89,0.78
South Dakota,72,0.63
New York,70,0.61
Massachusetts,61,0.53
Europe,60,0.52
Central America,59,0.52
Wisconsin,55,0.48
Oklahoma,53,0.46
Tennessee,52,0.45
Virginia,45,0.39
Puerto Rico,38,0.33
Georgia,32,0.28
Asia,31,0.27
Iowa,30,0.26
Ohio,28,0.24
South America,25,0.22
Pennsylvania,23,0.2
Northern America,21,0.18
Alabama,21,0.18
Alaska,17,0.15
Africa,17,0.15
Kansas,15,0.13
Hawaii,15,0.13
Kentucky,12,0.1
Michigan,8,0.07
Arkansas,7,0.06
Illinois,5,0.04
