originState,inboundFromState,pctOfTotal
Washington,754,11.69
Idaho,733,11.36
Oregon,561,8.7
California,545,8.45
Nevada,464,7.19
Texas,282,4.37
Louisiana,260,4.03
Asia,234,3.63
Colorado,226,3.5
Pennsylvania,215,3.33
Arizona,193,2.99
Illinois,189,2.93
Europe,139,2.15
Alaska,138,2.14
Oceania and At Sea,128,1.98
Florida,123,1.91
Ohio,122,1.89
Central America,121,1.88
Maine,82,1.27
Nebraska,82,1.27
Virginia,75,1.16
Utah,72,1.12
Hawaii,69,1.07
Georgia,65,1.01
New York,65,1.01
North Dakota,65,1.01
Wisconsin,63,0.98
North Carolina,60,0.93
Minnesota,46,0.71
Missouri,40,0.62
Iowa,39,0.6
Kentucky,38,0.59
Tennessee,27,0.42
Africa,24,0.37
Massachusetts,24,0.37
Mississippi,20,0.31
South Dakota,18,0.28
New Mexico,12,0.19
Wyoming,10,0.16
District of Columbia,7,0.11
Oklahoma,6,0.09
South America,6,0.09
New Jersey,5,0.08
Kansas,4,0.06
